SubjectID,researchdate
1306806058556077568,2025-06-01
1306806058556077568,2025-06-02
4692759896965140290,2025-06-02
6629304165209877741,2025-06-02
1306806058556077568,2025-06-03
1729388589032331985,2025-06-03
1729388589032331985,2025-06-04
1729388589032331985,2025-06-05
1954573939019829505,2025-06-05
1729388589032331985,2025-06-06
1954573939019829505,2025-06-06
1882516134850618573,2025-06-07
8502804186997688729,2025-06-07
1729388589032331985,2025-06-08
1297043030334348571,2025-06-09
1729388589032331985,2025-06-09
1954573939019829505,2025-06-09
7782225973962771416,2025-06-09
874855854027596352,2025-06-11
1729388589032331985,2025-06-11
4261958730707021056,2025-06-11
7998397832613031942,2025-06-11
792639191900656750,2025-06-12
1729388589032331985,2025-06-12
441361688982367554,2025-06-14
1513216533926154380,2025-06-14
1729388589032331985,2025-06-14
1585271561336614331,2025-06-15
1585271561337001691,2025-06-18
6052843423965704462,2025-06-18
1585271561337001691,2025-06-19
1729388589032331985,2025-06-22
6629304165209877199,2025-06-22
2170747290681326786,2025-06-24
432351254888983589,2025-06-25
1585271561337001691,2025-06-25
1585271561337001691,2025-06-26
4476590604025634241,2025-06-26
6629304165209877199,2025-06-26
1585271561337001691,2025-06-27
2233791780476071135,2025-06-27
1585271561337033691,2025-06-29
8502803222098581352,2025-06-29
2738194092690289087,2025-06-30
4692759896965140290,2025-06-30
1585271561336901830,2025-07-02
7000147901829877888,2025-07-02
1585271561336939603,2025-07-03
2738194092690289068,2025-07-04
5629511306838413568,2025-07-04
3035436765780351298,2025-07-05
1306055918923481346,2025-07-06
1585271561337001691,2025-07-07
1585271561337030686,2025-07-07
1729388589032331985,2025-07-07
3467783911479848960,2025-07-07
2738194092690289674,2025-07-08
6052843423965704511,2025-07-10
1585271561336939603,2025-07-11
6052843423965704462,2025-07-11
6341074104264854133,2025-07-11
6629304165209876826,2025-07-12
1585271561336939603,2025-07-14
6629304165209877571,2025-07-22
6629304165209877571,2025-07-23
2233791780476071135,2025-07-27
2676102810245518080,2025-07-27
1585271561336901830,2025-07-28
5044039385649898752,2025-07-28
4692759896965140290,2025-07-29
6196960145816224833,2025-07-29
8656829890936839488,2025-07-29
7791239233038936448,2025-07-31
8656829890936839488,2025-07-31
6998605659912808066,2025-08-01
1585271561336939603,2025-08-03
6341074104264855368,2025-08-03
3747000630363940378,2025-08-04
3747000630363940378,2025-08-05
8872102004503143591,2025-08-05
6701361217345430821,2025-08-06
1810459314961887811,2025-08-07
5764615010830211364,2025-08-11
7430953319858640640,2025-08-11
1585271561336939603,2025-08-12
3747000630363940378,2025-08-12
504410216844887574,2025-08-13
1873514497487928217,2025-08-13
6557246880847484935,2025-08-16
6710377279947371714,2025-08-16
6052843423965704462,2025-08-17
9089272665615484736,2025-08-17
5053052694490078976,2025-08-21
5116095829525861647,2025-08-21
1585271561337036739,2025-08-23
216178771397981588,2025-08-24
1585271561337034979,2025-08-27
4107288419676846194,2025-08-27
5404327400063577413,2025-08-27
2738194092690289087,2025-08-28
4107288419676846194,2025-08-28
5116096277414528843,2025-08-29
1585271561336939603,2025-09-01
3747000630363940378,2025-09-02
5116095829525861647,2025-09-02
1585271561337001691,2025-09-03
1729388589032331985,2025-09-03
1585271561336914069,2025-09-06
3747000630363940378,2025-09-06
7576643904375722625,2025-09-06
1585271561336939603,2025-09-08
1585271561336939603,2025-09-09
1585271561336801038,2025-09-10
2233791780476071135,2025-09-11
7576643904375722625,2025-09-11
5629511854270504897,2025-09-15
2882311520272393920,2025-09-17
4764817325728908033,2025-09-17
1585271561336938714,2025-09-18
7576643904375722625,2025-09-18
504410216844887574,2025-09-19
1585271561337038249,2025-09-20
7576643904375722625,2025-09-21
1585271561336717022,2025-09-24
2531033574337164798,2025-09-25
4694401212316192064,2025-09-26
4764817325728908033,2025-09-26
7576643904375722625,2025-09-27
2954367870147816270,2025-09-30
6629304165209876323,2025-09-30
6927737971451443776,2025-10-03
8214571128982578588,2025-10-04
1585271561337051847,2025-10-05
3747000630363940378,2025-10-05
7576643904375722625,2025-10-05
4692759896965140290,2025-10-06
4107288419676846085,2025-10-07
4755806029018135186,2025-10-07
6052843423965704808,2025-10-08
6927906236549392704,2025-10-09
2738194092690289025,2025-10-11
1585271561336984926,2025-10-14
3901231049869308352,2025-10-14
7576643904375722625,2025-10-14
2316166949196710976,2025-10-15
5332267584642577308,2025-10-15
946914460040435776,2025-10-16
1666343015431464640,2025-10-16
2748908614381779392,2025-10-16
1585271561336939603,2025-10-17
5413337214202462417,2025-10-17
6196958805535046283,2025-10-17
6710374448786440788,2025-10-17
1585271561337032846,2025-10-19
4261308455727522880,2025-10-20
1585271561336817322,2025-10-21
1585271561337034979,2025-10-21
1738401682216574849,2025-10-21
5197164996113048095,2025-10-22
4107288419676846091,2025-10-25
7647124857813028096,2025-10-25
1585271561336984926,2025-10-26
2242869852638387712,2025-10-29
8872102004503143591,2025-10-29
1306055918923481346,2025-10-30
